600
1	8		196		2	0	0	0	1
2	34		281		1	0	0	0	1
3	36		143		3	0	0	0	1
4	41		192		0	4	0	0	4
5	43		222		0	0	0	2	2
6	46		348		0	3	1	0	2
7	47		83		2	1	0	0	3
8	47		193		0	1	0	0	0
9	47		359		1	1	1	0	1
10	49		81		0	3	0	1	2
11	49		119		0	2	0	0	0
12	50		146		0	2	0	0	2
13	51		139		3	12	2	0	10
14	54		294		5	0	2	12	16
15	55		148		4	0	0	0	2
16	56		352		3	2	3	0	6
17	61		120		1	1	0	0	2
18	63		288		1	0	0	0	0
19	65		325		2	0	0	0	1
20	67		156		1	0	0	1	2
21	68		318		4	0	0	0	4
22	70		192		0	1	0	0	0
23	70		215		4	0	0	0	1
24	71		133		3	1	0	0	1
25	72		141		4	0	0	0	2
26	72		330		4	0	0	0	3
27	73		134		1	0	1	0	2
28	73		141		0	4	0	0	5
29	73		191		2	0	0	0	2
30	74		190		7	1	0	1	5
31	75		247		1	1	1	0	3
32	78		358		2	0	0	0	1
33	82		280		1	0	0	0	1
34	84		287		0	0	1	1	0
35	87		174		5	0	0	1	5
36	87		228		0	0	0	1	0
37	88		282		4	0	0	0	3
38	88		323		2	0	2	0	3
39	89		143		1	0	0	0	1
40	91		189		6	0	1	0	5
41	91		278		0	1	0	1	2
42	91		343		0	1	1	0	2
43	92		125		1	0	0	3	3
44	92		185		0	0	1	0	0
45	92		256		2	0	0	0	3
46	93		124		0	0	0	2	1
47	93		124		2	0	1	1	4
48	93		180		4	0	0	0	3
49	94		159		2	0	0	1	2
50	94		188		1	2	3	1	4
51	94		200		1	0	0	0	0
52	94		306		0	2	0	0	2
53	95		163		11	0	0	0	11
54	95		238		0	2	0	0	1
55	95		289		2	0	0	0	2
56	96		240		3	0	0	0	0
57	97		237		1	1	1	0	2
58	97		239		3	1	0	0	3
59	97		291		3	0	0	0	1
60	99		184		0	2	0	0	1
61	100		135		1	0	0	0	1
62	100		232		0	1	0	0	1
63	101		353		1	1	0	1	3
64	102		175		0	1	0	0	1
65	102		210		0	1	0	0	1
66	103		171		1	0	0	1	1
67	103		269		1	1	1	1	4
68	103		354		4	0	0	0	3
69	105		164		2	0	0	1	0
70	105		228		3	1	0	0	5
71	106		301		0	1	0	0	1
72	106		355		15	0	1	4	14
73	107		154		2	0	2	0	2
74	107		319		4	0	0	0	3
75	108		235		3	0	0	1	2
76	108		266		2	0	0	0	0
77	110		299		3	0	0	0	3
78	112		302		2	0	0	0	2
79	112		343		7	2	0	3	5
80	113		357		1	0	0	0	0
81	114		251		0	0	1	0	1
82	114		257		1	1	0	0	1
83	114		280		1	2	1	0	2
84	114		296		4	9	1	0	12
85	115		177		0	1	2	0	1
86	115		197		2	1	0	1	2
87	115		245		0	0	2	0	2
88	115		345		0	0	1	1	2
89	116		274		13	3	0	0	12
90	117		327		1	1	0	2	4
91	117		351		3	0	0	0	2
92	118		153		0	1	0	0	0
93	118		219		1	0	1	0	1
94	118		230		2	0	0	0	1
95	118		255		4	0	0	0	4
96	119		268		2	0	0	0	0
97	120		154		1	0	0	0	2
98	120		159		3	1	0	0	3
99	120		205		2	0	0	0	1
100	120		214		1	0	1	0	2
101	120		251		18	2	0	0	15
102	120		317		1	1	0	0	0
103	121		230		3	0	0	1	4
104	121		285		2	0	0	0	2
105	121		314		4	0	0	0	1
106	122		221		4	0	0	0	2
107	122		337		3	0	0	0	2
108	123		158		2	0	0	0	2
109	123		166		0	1	0	2	1
110	123		187		0	2	0	0	2
111	124		349		0	3	0	0	3
112	125		217		2	0	0	0	0
113	126		162		0	0	2	0	1
114	126		297		0	1	1	1	2
